,model,target_dataset,model_name,dataset_name,task_type,metric,batch_size,dataset_path,runtime,score
0,Jeevesh8/init_bert_ft_qqp-33,ag_news,Jeevesh8/init_bert_ft_qqp-33,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,222.30438947677607,0.0730473678619495
1,Jeevesh8/init_bert_ft_qqp-33,glue/sst2,Jeevesh8/init_bert_ft_qqp-33,sst2,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,44.23544073104858,-0.3465371656310105
2,Jeevesh8/init_bert_ft_qqp-33,glue/cola,Jeevesh8/init_bert_ft_qqp-33,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.691439867019653,-0.5576938510359749
3,Jeevesh8/init_bert_ft_qqp-33,ag_news,Jeevesh8/init_bert_ft_qqp-33,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,176.91719150543213,0.0728242909705026
4,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,ag_news,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,99.87973976135254,0.1501455093052292
5,vaariis/distilbert-base-uncased-finetuned-emotion,ag_news,vaariis/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,95.43077731132507,0.0418688355366277
6,philschmid/tiny-distilbert-classification,ag_news,philschmid/tiny-distilbert-classification,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,20.82834267616272,-0.7114963265668208
7,heranm/finetuning-sentiment-model-3000-samples,ag_news,heranm/finetuning-sentiment-model-3000-samples,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,95.5393214225769,0.12538000295798
8,marcelcastrobr/sagemaker-distilbert-emotion,ag_news,marcelcastrobr/sagemaker-distilbert-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,115.31999135017396,0.0467461409440496
9,jasonyim2/distilbert-base-uncased-finetuned-emotion,ag_news,jasonyim2/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,95.45609617233276,0.0148289839141096
10,riyadhctg/distilbert-base-uncased-finetuned-cola,ag_news,riyadhctg/distilbert-base-uncased-finetuned-cola,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,115.68205976486206,0.1032629826692401
11,dapang/distilroberta-base-mic-sym,ag_news,dapang/distilroberta-base-mic-sym,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,95.29873728752136,0.1022123998911568
12,PrasunMishra/finetuning-sentiment-model-3000-samples,ag_news,PrasunMishra/finetuning-sentiment-model-3000-samples,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,115.39593052864076,0.1195574148179655
13,nurkayevaa/autonlp-bert-covid-407910458,ag_news,nurkayevaa/autonlp-bert-covid-407910458,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,95.53418254852296,0.1457630458717267
14,SetFit/distilbert-base-uncased__sst2__train-16-0,ag_news,SetFit/distilbert-base-uncased__sst2__train-16-0,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,144.55989408493042,0.1703394655845398
15,abdelkader/distilbert-base-uncased-finetuned-emotion,ag_news,abdelkader/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,134.2870547771454,0.0612271091568476
16,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,ag_news,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,142.1262009143829,0.1835433961403478
17,gchhablani/fnet-base-finetuned-sst2,ag_news,gchhablani/fnet-base-finetuned-sst2,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,260.5273902416229,-0.0457280844629495
18,Capreolus/bert-base-msmarco,ag_news,Capreolus/bert-base-msmarco,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,253.066721200943,0.0966043127654939
19,connectivity/cola_6ep_ft-33,ag_news,connectivity/cola_6ep_ft-33,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,253.22983360290527,0.1393573787044376
20,Jeevesh8/feather_berts_46,ag_news,Jeevesh8/feather_berts_46,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.7158796787262,0.0684477702569514
21,yukta10/finetuning-sentiment-model-3000-samples,ag_news,yukta10/finetuning-sentiment-model-3000-samples,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,135.77258777618408,0.1299386179625527
22,gchhablani/fnet-base-finetuned-cola,ag_news,gchhablani/fnet-base-finetuned-cola,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,199.2985033988953,-0.0093943094851694
23,ncduy/roberta-imdb-sentiment-analysis,ag_news,ncduy/roberta-imdb-sentiment-analysis,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,212.11912870407104,0.1472434566736004
24,cambridgeltl/guardian_news_distilbert-base-uncased,ag_news,cambridgeltl/guardian_news_distilbert-base-uncased,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,244.209835767746,0.2037164330270599
25,moghis/distilbert-base-uncased-finetuned-emotion,ag_news,moghis/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,114.86799359321594,0.0415807294521112
26,nreimers/mmarco-mMiniLMv2-L6-H384-v1,ag_news,nreimers/mmarco-mMiniLMv2-L6-H384-v1,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,64.8894407749176,-0.2255475929527703
27,moshew/bert-mini-sst2-distilled,ag_news,moshew/bert-mini-sst2-distilled,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,65.22082614898682,-0.1133713842899353
28,phailyoor/distilbert-base-uncased-finetuned-yahd,ag_news,phailyoor/distilbert-base-uncased-finetuned-yahd,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,114.92104268074036,0.0051467662786554
29,arianpasquali/distilbert-base-multilingual-cased-toxicity,ag_news,arianpasquali/distilbert-base-multilingual-cased-toxicity,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,125.12169909477234,0.0542090263639117
30,amyma21/sincere_question_classification,ag_news,amyma21/sincere_question_classification,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,134.28237962722778,0.1552635555392877
31,uygarkurt/distilbert-base-uncased-finetuned-emotion,ag_news,uygarkurt/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,244.3436450958252,0.0373005180036146
32,pietrotrope/emotion_final,ag_news,pietrotrope/emotion_final,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,115.00465297698976,0.1014871283830674
33,neibla/distilbert-base-uncased-finetuned-emotion,ag_news,neibla/distilbert-base-uncased-finetuned-emotion,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,134.867116689682,0.0410147296972434
34,Anthos23/FS-distilroberta-fine-tuned,ag_news,Anthos23/FS-distilroberta-fine-tuned,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,138.43207383155823,0.0036803170613227
35,aviator-neural/bert-base-uncased-sst2,ag_news,aviator-neural/bert-base-uncased-sst2,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,216.7097630500793,0.0432627862954797
36,jaesun/distilbert-base-uncased-finetuned-cola,ag_news,jaesun/distilbert-base-uncased-finetuned-cola,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,114.53534865379332,0.0769895345618182
