,model,finetuned_dataset,model_name,dataset_name,task_type,batch_size,lr_scheduler_type,learning_rate,gradient_accumulation_steps,num_train_epochs,seed,dataset_path,train_runtime,eval_accuracy,push_to_hub,hub_model_id,push_to_hub_organization,hub_token,peft_method,lora_attention_dimension,lora_alpha,lora_dropout,lora_bias
0,Jeevesh8/init_bert_ft_qqp-33,tweet_eval/irony,Jeevesh8/init_bert_ft_qqp-33,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,419.08833503723145,0.6764397905759162,True,,TransferGraph,,,,,,
1,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,tweet_eval/irony,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,218.89972805976868,0.6387434554973822,True,,TransferGraph,,,,,,
2,vaariis/distilbert-base-uncased-finetuned-emotion,tweet_eval/irony,vaariis/distilbert-base-uncased-finetuned-emotion,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,220.4729652404785,0.6732984293193718,True,,TransferGraph,,,,,,
3,heranm/finetuning-sentiment-model-3000-samples,tweet_eval/irony,heranm/finetuning-sentiment-model-3000-samples,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,216.3890056610108,0.6848167539267016,True,,TransferGraph,,,,,,
4,marcelcastrobr/sagemaker-distilbert-emotion,tweet_eval/irony,marcelcastrobr/sagemaker-distilbert-emotion,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,226.78827261924744,0.6607329842931937,True,,TransferGraph,,,,,,
5,jasonyim2/distilbert-base-uncased-finetuned-emotion,tweet_eval/irony,jasonyim2/distilbert-base-uncased-finetuned-emotion,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,217.7144391536713,0.6712041884816754,True,,TransferGraph,,,,,,
6,riyadhctg/distilbert-base-uncased-finetuned-cola,tweet_eval/irony,riyadhctg/distilbert-base-uncased-finetuned-cola,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,215.6727199554444,0.6303664921465969,True,,TransferGraph,,,,,,
7,dapang/distilroberta-base-mic-sym,tweet_eval/irony,dapang/distilroberta-base-mic-sym,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,249.7036371231079,0.749738219895288,True,,TransferGraph,,,,,,
8,PrasunMishra/finetuning-sentiment-model-3000-samples,tweet_eval/irony,PrasunMishra/finetuning-sentiment-model-3000-samples,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,248.9257814884185,0.6869109947643979,True,,TransferGraph,,,,,,
9,nurkayevaa/autonlp-bert-covid-407910458,tweet_eval/irony,nurkayevaa/autonlp-bert-covid-407910458,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,246.5834589004517,0.6827225130890052,True,,TransferGraph,,,,,,
10,SetFit/distilbert-base-uncased__sst2__train-16-0,tweet_eval/irony,SetFit/distilbert-base-uncased__sst2__train-16-0,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,246.8026478290558,0.6701570680628273,True,,TransferGraph,,,,,,
11,abdelkader/distilbert-base-uncased-finetuned-emotion,tweet_eval/irony,abdelkader/distilbert-base-uncased-finetuned-emotion,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,246.7879638671875,0.6827225130890052,True,,TransferGraph,,,,,,
12,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,tweet_eval/irony,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,248.76414585113525,0.6596858638743456,True,,TransferGraph,,,,,,
13,gchhablani/fnet-base-finetuned-sst2,tweet_eval/irony,gchhablani/fnet-base-finetuned-sst2,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,324.8786573410034,0.6554973821989529,True,,TransferGraph,,,,,,
14,Capreolus/bert-base-msmarco,tweet_eval/irony,Capreolus/bert-base-msmarco,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,479.3560268878937,0.7005235602094241,True,,TransferGraph,,,,,,
15,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,tweet_eval/irony,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,482.3416576385498,0.6795811518324607,True,,TransferGraph,,,,,,
16,crcb/isear_bert,tweet_eval/irony,crcb/isear_bert,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,474.9413788318634,0.7465968586387435,True,,TransferGraph,,,,,,
17,connectivity/cola_6ep_ft-33,tweet_eval/irony,connectivity/cola_6ep_ft-33,irony,sequence_classification,16.0,linear,2e-05,1.0,5.0,42.0,tweet_eval,477.22345423698425,0.6732984293193718,True,,TransferGraph,,,,,,
